model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
LogisticRegression,0.7371000000000001,0.003967366884975468,0.6432776784644,0.009986677357858388,0.4469860229424212,0.0121509770949771,0.5273429755466219,0.00911529589522519,0.7764833859170677,0.010282242945113535
RandomForest,0.732,0.006188699378706317,0.6271924082741243,0.01027924427100887,0.4518682481345361,0.019652599066373434,0.525141534877578,0.015795255429723803,0.7579965335409892,0.01120173401735262
SVC,0.7335,0.0039749213828703675,0.671748390349703,0.011209976210463636,0.36776599101607454,0.010710833884273156,0.4752252255596764,0.010170605449992754,0.7415381878605396,0.009867265588753402
XGBoost,0.7133,0.008652167358529299,0.5807622046817639,0.01677580278871799,0.4555244644912203,0.015451783515201718,0.5104657395639491,0.014454712427313053,0.7313582041119965,0.010171460445301404
KNN,0.6872,0.005528109984434059,0.5303211513018089,0.010581166453136531,0.40982431228421873,0.020676822166096585,0.462127234105495,0.015368522303687376,0.6753943170255576,0.005716802357491809
